FLUXO ATUARIAL   -   CIVIL   -   PLANO PREVIDENCIÁRIO   -   BENEFÍCIOS AVALIADOS EM REGIME FINANCEIRO DE CAPITALIZAÇÃO   -   GERAÇÃO ATUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES PRELIMINARES;;;;;CONTRIBUIÇÕES FUTURAS DE APOSENTADOS  E PENSIONISTAS -  BENEFÍCIOS CONCEDIDOS;;;;;;;CONTRIBUIÇÕES FUTURAS DO ENTE - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIBUIÇÕES FUTURAS DOS ATIVOS - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIB. FUT. APOSENTADOS - BENEF. A CONCEDER;;;;;CONTRIB. FUT. PENSIONISTAS - BENEF. A CONCEDER;;;;;;OUTRAS RECEITAS - BENEF. A CONCEDER;;;;TOTAL;ENCARGOS - BENEFÍCIOS CONCEDIDOS;;;;;;;ENCARGOS - BENEFÍCIOS A CONCEDER;;;;;;;;;;TOTAL;RESULTADOS;;;;
52;2077;5,69;0,05627;0,00;21.715,8658;0,00;21.715,8658;0,00;0,00;596,5562;31.819,7184;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.245,0847;3.880,7048;0,00;0,00;364,3799;12.125,3114;12.125,3114;0,00;0,00;0,00;0,00;1.099.045,31522;0,00;0,00;0,00;1.169.547,85172;1.058.901,3216;0,00;636.394,3683;0,00;54.937,8218;367.569,1315;0,00;21.980.906,3044;10.305.742,4915;6.098.014,9774;0,00;1.115.497,2359;655.562,02;3.806.089,5796;0,00;0,00;0,00;23.039.807,626;-21.870.259,77428;714.386.371,6256;5,69;39.474.190,15289;733.220.941,52171
53;2078;5,69;0,05324;0,00;18.628,5749;0,00;18.628,5749;0,00;0,00;294,7329;26.812,7826;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.972,6698;3.629,5865;0,00;0,00;343,0833;10.158,3533;10.158,3533;0,00;0,00;0,00;0,00;1.042.953,22343;0,00;0,00;0,00;1.102.820,33693;919.874,1585;0,00;536.255,6516;0,00;50.275,9604;333.342,5465;0,00;20.859.064,4685;9.799.082,0363;5.797.066,9707;0,00;1.035.870,5968;622.464,1536;3.604.580,7111;0,00;0,00;0,00;21.778.938,627;-20.676.118,29007;732.120.144,98395;5,69;40.543.800,44188;753.088.623,67352
54;2079;5,69;0,05037;0,00;8.321,2905;0,00;8.321,2905;0,00;0,00;294,7329;11.496,1748;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.705,0903;3.382,9256;0,00;0,00;322,1647;6.615,5908;6.615,5908;0,00;0,00;0,00;0,00;984.855,29839;0,00;0,00;0,00;1.015.288,17769;602.531,8426;0,00;229.923,4966;0,00;50.275,9604;322.332,3856;0,00;19.697.105,9678;9.303.546,1518;5.472.718,9988;0,00;953.666,6881;591.217,6831;3.375.956,446;0,00;0,00;0,00;20.299.637,8104;-19.284.349,63271;752.117.270,98252;5,69;41.753.463,19292;775.557.737,23373
55;2080;5,69;0,04766;0,00;4.640,4808;0,00;4.640,4808;0,00;0,00;294,7329;6.326,9339;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.450,047;3.147,8208;0,00;0,00;302,2262;3.058,3271;3.058,3271;0,00;0,00;0,00;0,00;925.917,67056;0,00;0,00;0,00;943.688,19226;492.390,9583;0,00;126.538,6789;0,00;50.275,9604;315.576,319;0,00;18.518.353,4111;8.804.648,6859;5.160.502,7188;0,00;874.977,1812;560.701,1858;3.117.523,6394;0,00;0,00;0,00;19.010.744,3694;-18.067.056,17714;774.696.661,33633;5,69;43.101.219,75212;800.591.900,80871
56;2081;5,69;0,04509;0,00;0,00;0,00;0,00;0,00;0,00;294,7329;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.054,5885;2.929,1652;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;868.381,91656;0,00;0,00;0,00;871.731,23796;358.695,7546;0,00;0,00;0,00;50.275,9604;308.419,7942;0,00;17.367.638,3311;8.324.192,7889;4.880.822,0195;0,00;784.868,0444;531.660,6595;2.846.094,8188;0,00;0,00;0,00;17.726.334,0857;-16.854.602,84774;799.831.926,76631;5,69;44.594.652,25398;828.331.950,21495
57;2082;5,69;0,04266;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.054,5885;2.929,1652;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;812.813,43348;0,00;0,00;0,00;815.868,02198;319.075,5359;0,00;0,00;0,00;45.723,6142;273.351,9217;0,00;16.256.268,6695;7.761.091,3541;4.624.906,8341;0,00;713.871,6183;498.920,0833;2.657.478,7797;0,00;0,00;0,00;16.575.344,2054;-15.759.476,18342;827.659.650,96097;5,69;46.235.373,77239;858.807.847,80392
58;2083;5,69;0,04036;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.054,5885;2.929,1652;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;758.225,67978;0,00;0,00;0,00;761.280,26828;302.135,6202;0,00;0,00;0,00;45.723,6142;256.412,006;0,00;15.164.513,5955;7.254.238,9443;4.332.421,2344;0,00;645.071,4124;467.727,2072;2.465.054,7972;0,00;0,00;0,00;15.466.649,2157;-14.705.368,94742;858.214.339,1132;5,69;48.029.431,04693;892.131.909,90343
59;2084;5,69;0,03819;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.054,5885;2.929,1652;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;700.720,46612;0,00;0,00;0,00;703.775,05462;274.812,2819;0,00;0,00;0,00;45.723,6142;229.088,6677;0,00;14.014.409,3224;6.834.196,944;3.918.654,8908;0,00;578.644,3143;443.032,757;2.239.880,4163;0,00;0,00;0,00;14.289.221,6043;-13.585.446,54968;891.613.081,6997;5,69;49.989.293,76483;928.535.757,11858
60;2085;5,69;0,03613;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.054,5885;2.929,1652;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;642.846,21329;0,00;0,00;0,00;645.900,80179;259.483,6985;0,00;0,00;0,00;45.723,6142;213.760,0843;0,00;12.856.924,2658;6.380.433,0541;3.495.705,3463;0,00;513.956,3542;411.770,0318;2.055.059,4794;0,00;0,00;0,00;13.116.407,9643;-12.470.507,16251;928.085.197,6948;5,69;52.124.112,7225;968.189.362,67857
61;2086;5,69;0,03418;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.054,5885;2.929,1652;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;596.123,41708;0,00;0,00;0,00;599.178,00558;247.247,2844;0,00;0,00;0,00;41.250,1161;205.997,1683;0,00;11.922.468,3415;5.983.067,8995;3.203.152,5803;0,00;458.462,6228;385.172,3095;1.892.612,9294;0,00;0,00;0,00;12.169.715,6259;-11.570.537,62032;967.793.881,70271;5,69;54.431.611,14581;1.011.050.436,20406
62;2087;5,69;0,03234;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.054,5885;2.929,1652;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;543.220,18977;0,00;0,00;0,00;546.274,77827;223.232,5035;0,00;0,00;0,00;23.798,114;199.434,3895;0,00;10.864.403,7953;5.576.887,2023;2.846.515,294;0,00;402.392,426;360.849,5799;1.677.759,2931;0,00;0,00;0,00;11.087.636,2988;-10.541.361,52053;1.010.709.528,57249;5,69;56.928.966,34949;1.057.438.041,03302
63;2088;5,69;0,0306;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.054,5885;2.929,1652;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;491.814,89874;0,00;0,00;0,00;494.869,48724;193.215,7677;0,00;0,00;0,00;0,00;193.215,7677;0,00;9.836.297,9748;5.166.599,6281;2.520.059,7225;0,00;360.550,4903;328.633,7372;1.460.454,3967;0,00;0,00;0,00;10.029.513,7425;-9.534.644,25526;1.057.146.280,91881;5,69;59.625.703,27665;1.107.529.100,05441
64;2089;5,69;0,02895;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.604,3488;1.478,9255;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;445.324,85718;0,00;0,00;0,00;446.929,20598;186.673,6811;0,00;0,00;0,00;0,00;186.673,6811;0,00;8.906.497,1435;4.717.821,2726;2.209.642,8682;0,00;316.707,2322;295.729,3549;1.366.596,4156;0,00;0,00;0,00;9.093.170,8246;-8.646.241,61862;1.107.278.791,35955;5,69;62.526.434,645;1.161.409.293,08079
65;2090;5,69;0,02739;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.604,3488;1.478,9255;0,00;0,00;125,4233;0,00;0,00;0,00;0,00;0,00;0,00;407.618,82282;0,00;0,00;0,00;409.223,17162;174.849,4497;0,00;0,00;0,00;0,00;174.849,4497;0,00;8.152.376,4564;4.373.819,4036;2.002.321,2707;0,00;279.125,6981;277.981,1731;1.219.128,9109;0,00;0,00;0,00;8.327.225,9061;-7.918.002,73448;1.161.192.418,98589;5,69;65.633.654,42071;1.219.124.944,76702
66;2091;5,69;0,02592;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.478,9255;1.478,9255;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;371.039,88077;0,00;0,00;0,00;372.518,80627;163.224,2862;0,00;0,00;0,00;0,00;163.224,2862;0,00;7.420.797,6153;3.999.369,1812;1.807.251,5756;0,00;240.553,6875;254.656,3362;1.118.966,8348;0,00;0,00;0,00;7.584.021,9015;-7.211.503,09523;1.218.938.022,60679;5,69;68.957.874,83112;1.280.871.316,50291
67;2092;5,69;0,02452;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.478,9255;1.478,9255;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;336.027,95172;0,00;0,00;0,00;337.506,87722;151.196,9046;0,00;0,00;0,00;0,00;151.196,9046;0,00;6.720.559,0344;3.634.949,4606;1.623.178,2973;0,00;212.635,8649;237.313,89;1.012.481,5216;0,00;0,00;0,00;6.871.755,939;-6.534.249,06178;1.280.711.096,71591;5,69;72.509.779,1374;1.346.846.846,57853
68;2093;5,69;0,0232;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.478,9255;1.478,9255;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;303.867,11477;0,00;0,00;0,00;305.346,04027;143.438,6926;0,00;0,00;0,00;0,00;143.438,6926;0,00;6.077.342,2953;3.273.483,9628;1.511.259,7651;0,00;180.709,3222;215.051,1054;896.838,1398;0,00;0,00;0,00;6.220.780,9879;-5.915.434,94763;1.346.709.608,48775;5,69;76.298.997,3218;1.417.230.408,9527
69;2094;5,69;0,02195;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.478,9255;1.478,9255;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;272.767,95304;0,00;0,00;0,00;274.246,87854;133.207,2772;0,00;0,00;0,00;0,00;133.207,2772;0,00;5.455.359,0607;3.027.197,1076;1.317.019,3906;0,00;152.452,902;190.782,7129;767.906,9476;0,00;0,00;0,00;5.588.566,3379;-5.314.319,45936;1.417.113.759,64057;5,69;80.338.025,49217;1.492.254.114,98551
70;2095;5,69;0,02077;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.478,9255;1.478,9255;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;242.622,49391;0,00;0,00;0,00;244.101,41941;125.909,1302;0,00;0,00;0,00;0,00;125.909,1302;0,00;4.852.449,8781;2.688.259,7796;1.197.150,4581;0,00;124.939,0314;164.289,0547;677.811,5543;0,00;0,00;0,00;4.978.359,0083;-4.734.257,58889;1.492.155.784,45539;5,69;84.639.879,88587;1.572.159.737,28249
71;2096;5,69;0,01965;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.478,9255;1.478,9255;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;218.627,78838;0,00;0,00;0,00;220.106,71388;119.334,6629;0,00;0,00;0,00;0,00;119.334,6629;0,00;4.372.555,7676;2.458.784,7189;1.085.003,7436;0,00;100.127,5886;145.489,1165;583.150,60;0,00;0,00;0,00;4.491.890,4305;-4.271.783,71662;1.572.075.796,73246;5,69;89.212.824,5579;1.657.100.778,12377
72;2097;5,69;0,01859;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.478,9255;1.478,9255;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;190.288,66774;0,00;0,00;0,00;191.767,59324;113.380,758;0,00;0,00;0,00;0,00;113.380,758;0,00;3.805.773,3548;2.216.684,454;906.034,7784;0,00;77.542,7453;126.686,8784;478.824,4987;0,00;0,00;0,00;3.919.154,1128;-3.727.386,51956;1.657.031.486,00837;5,69;94.076.945,98228;1.747.450.337,58649
73;2098;5,69;0,01759;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.478,9255;1.478,9255;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;168.046,70308;0,00;0,00;0,00;169.525,62858;108.773,076;0,00;0,00;0,00;0,00;108.773,076;0,00;3.360.934,0615;1.996.489,8299;803.658,9647;0,00;56.955,9492;104.163,547;399.665,7707;0,00;0,00;0,00;3.469.707,1375;-3.300.181,50892;1.747.392.287,39375;5,69;99.242.143,88081;1.843.392.299,95838
74;2099;5,69;0,01664;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;145.768,45449;0,00;0,00;0,00;145.768,45449;104.048,9571;0,00;0,00;0,00;0,00;104.048,9571;0,00;2.915.369,0898;1.758.967,59;676.415,2063;0,00;52.599,5386;87.981,2301;339.405,5248;0,00;0,00;0,00;3.019.418,0469;-2.873.649,59241;1.843.344.482,42916;5,69;104.725.511,20582;1.945.244.161,57179
75;2100;5,69;0,01574;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;126.607,03239;0,00;0,00;0,00;126.607,03239;99.800,9316;0,00;0,00;0,00;0,00;99.800,9316;0,00;2.532.140,6478;1.589.809,5719;570.281,0476;0,00;42.557,573;75.082,9137;254.409,5416;0,00;0,00;0,00;2.631.941,5794;-2.505.334,54701;1.945.204.727,60602;5,69;110.541.839,25771;2.053.280.666,28249
76;2101;5,69;0,01489;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;104.570,54245;0,00;0,00;0,00;104.570,54245;95.442,1431;0,00;0,00;0,00;0,00;95.442,1431;0,00;2.091.410,8489;1.414.013,8161;401.572,2579;0,00;29.859,9457;57.126,8794;188.837,9498;0,00;0,00;0,00;2.186.852,992;-2.082.282,44955;2.053.249.661,09682;5,69;116.713.188,04009;2.167.911.571,87303
77;2102;5,69;0,01409;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;86.874,04857;0,00;0,00;0,00;86.874,04857;91.337,7959;0,00;0,00;0,00;0,00;91.337,7959;0,00;1.737.480,9713;1.212.732,4434;321.600,391;0,00;19.499,0242;43.690,5107;139.958,602;0,00;0,00;0,00;1.828.818,7672;-1.741.944,71863;2.167.887.027,87194;5,69;123.255.051,78509;2.289.424.678,93949
78;2103;5,69;0,01333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69.867,47115;0,00;0,00;0,00;69.867,47115;82.935,1958;0,00;0,00;0,00;0,00;82.935,1958;0,00;1.397.349,4229;1.023.851,1225;225.912,5372;0,00;11.980,3317;32.847,3571;102.758,0744;0,00;0,00;0,00;1.480.284,6187;-1.410.417,14755;2.289.405.878,07891;5,69;130.188.011,49596;2.418.202.273,2879
79;2104;5,69;0,01261;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55.754,05621;0,00;0,00;0,00;55.754,05621;69.363,4038;0,00;0,00;0,00;0,00;69.363,4038;0,00;1.115.081,1241;819.966,1888;181.311,225;0,00;7.710,4423;24.886,0105;81.207,2575;0,00;0,00;0,00;1.184.444,5279;-1.128.690,47169;2.418.188.040,50105;5,69;137.531.486,86224;2.554.605.069,67845
80;2105;5,69;0,01193;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41.810,16074;0,00;0,00;0,00;41.810,16074;61.311,4385;0,00;0,00;0,00;0,00;61.311,4385;0,00;836.203,2148;640.282,3688;130.615,7062;0,00;987,0344;19.163,7995;45.154,3059;0,00;0,00;0,00;897.514,6533;-855.704,49256;2.554.594.861,12385;5,69;145.308.338,87908;2.699.057.704,06497
81;2106;5,69;0,01129;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30.736,72687;0,00;0,00;0,00;30.736,72687;59.215,7086;0,00;0,00;0,00;0,00;59.215,7086;0,00;614.734,5373;472.524,4216;89.458,1176;0,00;414,1008;10.876,5642;41.461,3331;0,00;0,00;0,00;673.950,2459;-643.213,51903;2.699.050.442,18434;5,69;153.539.784,51206;2.851.954.275,058
82;2107;5,69;0,01068;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27.236,74728;0,00;0,00;0,00;27.236,74728;58.390,3672;0,00;0,00;0,00;0,00;58.390,3672;0,00;544.734,9455;448.639,1874;62.395,2862;0,00;0,00;9.844,7364;23.855,7355;0,00;0,00;0,00;603.125,3127;-575.888,56542;2.851.948.124,56812;5,69;162.243.430,19143;3.013.621.816,68401
83;2108;5,69;0,01011;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.765,58128;0,00;0,00;0,00;20.765,58128;57.579,9898;0,00;0,00;0,00;0,00;57.579,9898;0,00;415.311,6255;368.817,1246;29.189,1858;0,00;0,00;6.666,7233;10.638,5918;0,00;0,00;0,00;472.891,6153;-452.126,03402;3.013.617.245,68981;5,69;171.449.355,39798;3.184.619.046,04797
84;2109;5,69;0,00957;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.071,06832;0,00;0,00;0,00;14.071,06832;56.804,4631;0,00;0,00;0,00;0,00;56.804,4631;0,00;281.421,3664;272.939,0149;0,00;0,00;0,00;3.044,854;5.437,4975;0,00;0,00;0,00;338.225,8295;-324.154,76118;3.184.615.943,88691;5,69;181.186.379,31422;3.365.481.270,60101
85;2110;5,69;0,00905;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.061,2506;0,00;0,00;0,00;9.061,2506;56.412,7282;0,00;0,00;0,00;0,00;56.412,7282;0,00;181.225,012;179.898,9106;0,00;0,00;0,00;1.326,1014;0,00;0,00;0,00;0,00;237.637,7402;-228.576,4896;3.365.479.201,98378;5,69;191.482.878,29494;3.556.735.572,40635
86;2111;5,69;0,00856;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.674,27813;0,00;0,00;0,00;5.674,27813;56.048,4012;0,00;0,00;0,00;0,00;56.048,4012;0,00;113.485,5625;113.485,5625;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;169.533,9637;-163.859,68557;3.556.734.169,76744;5,69;202.368.930,45381;3.758.940.643,17459
87;2112;5,69;0,0081;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.620,25627;0,00;0,00;0,00;3.620,25627;51.521,1265;0,00;0,00;0,00;0,00;51.521,1265;0,00;72.405,1253;72.405,1253;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;123.926,2518;-120.305,99553;3.758.939.668,69603;5,69;213.876.877,18549;3.972.697.214,36455
88;2113;5,69;0,00766;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;557,67518;0,00;0,00;0,00;557,67518;46.263,0819;0,00;0,00;0,00;0,00;46.263,0819;0,00;11.153,5036;11.153,5036;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;57.416,5855;-56.858,91032;3.972.696.778,8253;5,69;226.043.236,22535;4.198.683.591,67958
89;2114;5,69;0,00725;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;277,17357;0,00;0,00;0,00;277,17357;41.748,2106;0,00;0,00;0,00;0,00;41.748,2106;0,00;5.543,4714;5.543,4714;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47.291,682;-47.014,50843;4.198.683.250,82439;5,69;238.902.421,24104;4.437.538.998,41219
90;2115;5,69;0,00686;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.720,1897;0,00;0,00;0,00;0,00;31.720,1897;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.720,1897;-31.720,1897;4.437.538.780,81169;5,69;252.494.164,13086;4.690.001.442,35335
91;2116;5,69;0,00649;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.720,1897;0,00;0,00;0,00;0,00;31.720,1897;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.720,1897;-31.720,1897;4.690.001.236,48932;5,69;266.859.277,19111;4.956.828.999,35476
